Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909H1_CANTOGRANDE, CellIndex=86, CGI=7160604114A93",Unreliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909G3_CANTOGRANDE, CellIndex=85, CGI=7160604114DA7",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909G2_CANTOGRANDE, CellIndex=84, CGI=7160604114DA6",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI909G1_CANTOGRANDE, CellIndex=83, CGI=7160604114DA2",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812H3_CALIFORNIA, CellIndex=82, CGI=71606041246CB",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812H2_CALIFORNIA, CellIndex=81, CGI=71606041246CA",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812H1_CALIFORNIA, CellIndex=80, CGI=71606041246C9",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812G3_CALIFORNIA, CellIndex=79, CGI=7160604121FBB",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812G2_CALIFORNIA, CellIndex=78, CGI=7160604121FBA",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI812G1_CALIFORNIA, CellIndex=77, CGI=7160604121FB9",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI804H2_BOTIJA, CellIndex=75, CGI=716060412467A",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI804H1_BOTIJA, CellIndex=74, CGI=7160604124679",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI804G2_BOTIJA, CellIndex=73, CGI=7160604121F6A",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI804G1_BOTIJA, CellIndex=72, CGI=7160604121F69",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI908H3_ASBESTOS, CellIndex=71, CGI=7160604114A8B",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI908H2_ASBESTOS, CellIndex=70, CGI=7160604114A8A",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI908H1_ASBESTOS, CellIndex=69, CGI=7160604114A89",Reliable,3600,0,0,0,0,0,0,,,,100
